,0
origin_demand,0.9914600728801511
apparent_temp_F,0.0016626677269880534
dow_cos,0.0011160278780794788
temperature_F,0.0009779599988035822
origin_roll168_mean,0.0007066858432370071
origin_roll24_mean,0.0006143761524756991
dow_sin,0.0005162710749270154
hour_sin,0.0004104588805315661
origin_demand_lag168,0.0003453601604307677
region_BPAT,0.000311134389359543
doy_cos,0.00027310802051712027
humidity_pct,0.00025574372583942405
hour_cos,0.00022520386598511821
origin_demand_lag24,0.00019376356920062268
is_weekend,0.00018602570259068134
doy_sin,0.00018578358405957042
wind_speed_kmh,0.00015755288974523892
origin_roll24_std,0.00015488121381640162
month,6.53850471805653e-05
region_MISO,5.9660485629201594e-05
region_PJM,4.29136770032604e-05
region_ERCO,3.358599386837483e-05
region_CISO,1.1753896406629457e-05
precipitation_mm,1.1096759387600889e-05
region_SWPP,7.227406318299208e-06
region_ISNE,6.9941334875262486e-06
region_NYIS,5.923345657409019e-06
is_holiday,2.381698322982693e-06
